ISO COUNTRY MASTER,M_ISO_CNTRY,,X,,,,,
DESTINATION MASTER,M_DSTNTN,,X,,,,,
GLOBAL PLANT MASTER,M_GLBL_PLNT,,X,,,,,
MANAGEMENT COMMITTEE MASTER,M_MNGMNT_CMMTT,,X,,,,,
ERROR MESSAGE MASTER,M_ERRR_MSSG,,X,,,,,
ERROR LOG TRANSACTION,T_ERRR_LG,,X,,,,,
ERROR LOG DETAIL TRANSACTION,T_ERRR_LG_DTL,,X,,,,,
MAIL ADDRESS MASTER,M_ML_ADDRSS,,X,,,,,
MAIL JOB SETTING MASTER,M_ML_JB_STTNG,,X,,,,,
DELIVERY FILE CONTROL MASTER,M_DLVRY_FL_CNTRL,,X,,,,,
ISO COUNTRY CODE,ISO_CNTRY_CD,,X,,,,,
ISO COUNTRY NAME,ISO_CNTRY_NM,,X,,,,,
MANAGEMENT COMMITTEE CODE,MNGMNT_CMMTT_CD,,X,,,,,
DATA SOURCE CREATE USER ID,DT_SRC_CRT_USR_ID,,X,,,,,
DATA SOURCE CREATE DATE,DT_SRC_CRT_DT,,X,,,,,
DATA SOURCE UPDATE USER ID,DT_SRC_UPDT_USR_ID,,X,,,,,
DATA SOURCE UPDATE DATE,DT_SRC_UPDT_DT,,X,,,,,
GENERATE FILE NAME,GNRT_FL_NM,,X,,,,,
CREATE USER ID,CRT_USR_ID,,X,,,,,
CREATE DATETIME,CRT_DTTM,,X,,,,,
UPDATE USER ID,UPDT_USR_ID,,X,,,,,
UPDATE DATETIME,UPDT_DTTM,,X,,,,,
DELETE FLAG,DLT_FLG,,X,,,,,
DESTINATION MASTER SK,DSTNTN_MSTR_SK,,X,,,,,
DESTINATION CODE,DSTNTN_CD,,X,,,,,
DESTINATION NAME,DSTNTN_NM,,X,,,,,
WARRANTY COUNTRY CODE,WRRNTY_CNTRY_CD,,X,,,,,
VALID START DATE,VLD_STRT_DT,,X,,,,,
VALID END DATE,VLD_END_DT,,X,,,,,
ACTIVE RECORD FLAG,ACTV_RCRD_FLG,,X,,,,,
GLOBAL PLANT CODE,GLBL_PLNT_CD,,X,,,,,
GLOBAL PRODUCTION LOCATION NAME,GLBL_PRDCTN_LCTN_NM,,X,,,,,
GLOBAL PLANT NAME,GLBL_PLNT_NM,,X,,,,,
KD PLANT FLAG,KD_PLNT_FLG,,X,,,,,
UNIT PLANT FLAG,UNT_PLNT_FLG,,X,,,,,
